[ 53.48253, -2.217952 ]
[ 51.38414, -0.091365 ]
[ 51.072379, -4.077641 ]
[ 51.056095, -1.33868 ]
[ 55.785361, -4.070841 ]
[ 51.950351, 1.332509 ]
[ 51.060718, -1.328289 ]
[ 51.620203, -0.0036 ]
[ 51.818719, 0.745194 ]
[ 53.531767, -2.664477 ]
[ 50.728733, -1.858628 ]
[ 53.459834, -2.203872 ]
[ 51.450876, -0.474363 ]
[ 51.467143, -0.188505 ]
[ 53.595319, -0.65131 ]
[ 57.6567, -1.949437 ]
[ 54.373135, -3.075482 ]
[ 51.61129, -2.888358 ]
[ 51.754619, -2.54885 ]
[ 55.830119, -4.073595 ]
[ 51.453792, -0.120431 ]
[ 54.086857, -4.633955 ]
[ 51.053949, -2.410278 ]
[ 53.036639, -0.463573 ]
[ 50.870361, 0.5623 ]
[ 52.598437, -2.166763 ]
[ 54.931002, -3.823025 ]
[ 55.042911, -1.445226 ]
[ 54.963193, -1.602463 ]
[ 53.48771, -3.029269 ]
[ 51.514178, -0.135587 ]
[ 51.511805, -0.133403 ]
[ 51.496497, 0.111426 ]
[ 50.771789, 0.259741 ]
[ 53.464269, -2.943487 ]
[ 52.057875, 1.163521 ]
[ 50.422524, -3.584315 ]
[ 56.151856, -3.744786 ]
[ 55.940741, -3.041954 ]
[ 53.484738, -2.23589 ]
[ 53.43835, -2.2773 ]
[ 55.000504, -1.43264 ]
[ 51.642833, -0.465099 ]
[ 51.648135, 0.61752 ]
[ 51.659432, -0.084574 ]
[ 51.508, -0.12612 ]
[ 53.780444, -0.300855 ]
[ 51.459704, -0.059187 ]
[ 54.588471, -5.936326 ]
[ 51.458441, -2.118729 ]
[ 51.286337, 1.093504 ]
[ 51.549483, -0.182791 ]
[ 51.463896, -0.170287 ]
[ 55.89667, -4.444649 ]
[ 52.606157, -1.670562 ]
[ 51.846194, -2.577364 ]
[ 54.968424, -1.607633 ]
[ 50.719811, -1.166802 ]
[ 52.431022, -1.5198 ]
[ 52.393339, 0.008712 ]
[ 54.130598, -2.768086 ]
[ 51.514348, -3.118121 ]
[ 51.337152, -2.205922 ]
[ 52.580729, -0.265301 ]
[ 51.57352, -0.763229 ]
[ 54.954142, -1.539658 ]
[ 52.211736, -2.192955 ]
[ 51.51317, 0.000021 ]
[ 53.201866, -2.374103 ]
[ 53.487189, -2.234035 ]
[ 52.901355, -0.632097 ]
[ 52.959804, -1.206662 ]
[ 54.877509, -1.602856 ]
[ 53.283857, -3.655659 ]
[ 53.533851, -2.201166 ]
[ 56.193054, -3.196994 ]
[ 51.944216, 1.064131 ]
[ 52.840283, -1.344916 ]
[ 51.372552, -0.493312 ]
[ 53.250651, -2.517699 ]
[ 51.74282, -0.315387 ]
[ 51.661391, -3.846723 ]
[ 53.197283, -2.900796 ]
[ 51.53067, -0.078624 ]
[ 51.870869, -2.245115 ]
[ 51.406396, -0.25882 ]
[ 52.788276, 0.118415 ]
[ 55.940194, -4.040627 ]
[ 51.544868, -0.088829 ]
[ 53.002319, -1.283585 ]
[ 51.428947, -0.354188 ]
[ 52.361346, -3.096842 ]
[ 53.487782, -3.025827 ]
[ 51.49448, -3.166013 ]
[ 53.53904, -2.639188 ]
[ 53.449533, -2.347203 ]
[ 52.395032, -2.020035 ]
[ 51.5063, -0.1271 ]
[ 53.527597, -2.201782 ]
[ 51.51603, -2.54232 ]
[ 53.519966, -1.137964 ]
[ 52.517231, -1.507322 ]
[ 54.592866, -5.97602 ]
[ 53.369546, -1.467488 ]
[ 51.5063, -0.1271 ]
[ 51.492526, -0.156735 ]
[ 52.40097, -1.790396 ]
[ 51.408517, 0.061783 ]
[ 53.051763, -2.261153 ]
[ 51.523958, -0.108376 ]
[ 53.48253, -2.217952 ]
[ 51.5063, -0.1271 ]
[ 51.676323, -3.542993 ]
[ 53.756789, -0.318067 ]
[ 51.399641, -1.333757 ]
[ 51.750983, -3.380876 ]
[ 51.261987, -0.45393 ]
[ 51.744128, -0.445843 ]
[ 51.650775, -0.379394 ]
[ 55.907947, -4.455637 ]
[ 51.739495, 0.701571 ]
[ 52.527885, -1.438385 ]
[ 50.882223, -0.295006 ]
[ 51.568016, -0.302013 ]
[ 50.801829, 0.273409 ]
[ 53.366197, -1.503727 ]
[ 53.823362, -1.583923 ]
[ 51.81105, -2.618887 ]
[ 51.846195, -2.577364 ]
[ 51.655524, -3.287118 ]
[ 54.091058, -0.211566 ]
[ 51.510088, -0.146236 ]
[ 50.74309, -1.962697 ]
[ 51.564785, -0.3893 ]
[ 53.446148, -2.025481 ]
[ 55.896928, -3.634022 ]
